msmarco_passage_20_838723280	p0
msmarco_passage_20_560730031	p2884
msmarco_passage_05_604285199	p2885
msmarco_passage_49_252303348	p2886
msmarco_passage_28_442880843	p2887
msmarco_passage_32_507965538	p2888
msmarco_passage_67_560334427	p2889
msmarco_passage_54_210484433	p2890
msmarco_passage_38_86847856	p2891
msmarco_passage_62_106867828	p2892
msmarco_passage_37_169480880	p2893
msmarco_passage_12_167225472	p2894
msmarco_passage_68_184664921	p2895
msmarco_passage_05_613955767	p2896
msmarco_passage_43_616031253	p2897
msmarco_passage_31_78431298	p2898
msmarco_passage_31_25187577	p2899
msmarco_passage_04_412589029	p2900
msmarco_passage_64_371584889	p2901
msmarco_passage_02_583646928	p2902
msmarco_passage_29_278591929	p2903
msmarco_passage_06_72295234	p2904
msmarco_passage_11_502914577	p2905
msmarco_passage_27_674359341	p2906
msmarco_passage_33_16866854	p2907
msmarco_passage_09_94310130	p2908
msmarco_passage_39_813657280	p2909
msmarco_passage_64_323726357	p2910
msmarco_passage_05_744181451	p2911
msmarco_passage_32_369080117	p2912
msmarco_passage_25_351821723	p2913
msmarco_passage_20_467422841	p2914
msmarco_passage_63_30895773	p2915
msmarco_passage_37_769842160	p2916
msmarco_passage_55_283412624	p2917
msmarco_passage_38_688882951	p2918
msmarco_passage_27_674372897	p2919
msmarco_passage_44_524573617	p2920
msmarco_passage_35_638349913	p2921
msmarco_passage_11_175806065	p2922
msmarco_passage_47_555453255	p2923
msmarco_passage_07_738003110	p2924
msmarco_passage_18_380183756	p2925
msmarco_passage_39_473014094	p2926
msmarco_passage_51_122254331	p2927
msmarco_passage_56_503441322	p2928
msmarco_passage_52_21164840	p2929
msmarco_passage_50_36513995	p2930
msmarco_passage_32_27454877	p2931
msmarco_passage_01_683092283	p2932
msmarco_passage_19_813881289	p2933
msmarco_passage_28_809761085	p2934
msmarco_passage_59_478660197	p2935
msmarco_passage_24_295742854	p2936
msmarco_passage_55_620009256	p2937
msmarco_passage_15_540598614	p2938
msmarco_passage_46_15182242	p2939
msmarco_passage_66_48628245	p2940
msmarco_passage_58_344396848	p2941
msmarco_passage_36_36715747	p2942
msmarco_passage_29_276435249	p2943
msmarco_passage_19_225957136	p2944
msmarco_passage_55_718242372	p2945
msmarco_passage_26_266356607	p2946
msmarco_passage_53_210960117	p2947
msmarco_passage_53_488619585	p2948
msmarco_passage_29_484923389	p2949
msmarco_passage_40_149648100	p2950
msmarco_passage_27_112906800	p2951
msmarco_passage_10_797171623	p2952
msmarco_passage_35_610997979	p2953
msmarco_passage_60_765749134	p2954
msmarco_passage_25_251604082	p2955
msmarco_passage_38_180361820	p2956
msmarco_passage_28_563587189	p2957
msmarco_passage_25_396338848	p2958
msmarco_passage_24_563083371	p2959
msmarco_passage_00_162980934	p2960
msmarco_passage_28_138335112	p2961
msmarco_passage_65_687247002	p2962
msmarco_passage_59_3486159	p2963
msmarco_passage_10_777459652	p2964
msmarco_passage_42_285036280	p2965
msmarco_passage_49_290695913	p2966
msmarco_passage_57_261218795	p2967
msmarco_passage_25_442703185	p2968
msmarco_passage_28_470759696	p2969
msmarco_passage_47_578654067	p2970
msmarco_passage_05_532780778	p2971
msmarco_passage_13_17560244	p2972
msmarco_passage_18_280552383	p2973
msmarco_passage_52_21161407	p2974
msmarco_passage_08_783157021	p2975
msmarco_passage_55_367675840	p2976
msmarco_passage_29_375442797	p2977
msmarco_passage_15_543546763	p2978
msmarco_passage_61_200598507	p2979
msmarco_passage_19_127550761	p2980
msmarco_passage_32_16748241	p2981
msmarco_passage_23_69407842	p2982
msmarco_passage_36_206271748	p2983
msmarco_passage_17_308524429	p2984
msmarco_passage_30_103070589	p2985
msmarco_passage_53_821253766	p2986
msmarco_passage_56_793660087	p2987
msmarco_passage_25_141033192	p2988
msmarco_passage_20_594481117	p2989
msmarco_passage_10_129522171	p2990
msmarco_passage_02_740012860	p2991
msmarco_passage_40_386867461	p2992
msmarco_passage_10_77383227	p2993
msmarco_passage_63_722531257	p2994
msmarco_passage_63_881495102	p2995
msmarco_passage_47_158204363	p2996
msmarco_passage_23_69733836	p2997
msmarco_passage_62_106903543	p2998
msmarco_passage_28_130743216	p2999
msmarco_passage_46_560756701	p3000
msmarco_passage_66_715105795	p3001
msmarco_passage_17_527041832	p3002
msmarco_passage_67_512059427	p3003
msmarco_passage_13_503453144	p3004
msmarco_passage_06_620906589	p3005
msmarco_passage_18_217969117	p3006
msmarco_passage_17_112564749	p3007
msmarco_passage_09_78441248	p3008
msmarco_passage_20_319568238	p3009
msmarco_passage_24_286373726	p3010
msmarco_passage_54_21919209	p3011
msmarco_passage_10_275996194	p3012
msmarco_passage_19_19300519	p3013
msmarco_passage_48_464824560	p3014
msmarco_passage_31_515436007	p3015
msmarco_passage_58_767258095	p3016
msmarco_passage_26_843379578	p3017
msmarco_passage_63_597729391	p3018
msmarco_passage_29_194074982	p3019
msmarco_passage_24_717159824	p3020
msmarco_passage_48_255208627	p3021
msmarco_passage_64_837955546	p3022
msmarco_passage_25_173358935	p3023
msmarco_passage_30_297203268	p3024
msmarco_passage_41_242700660	p3025
msmarco_passage_14_56803348	p3026
msmarco_passage_64_132337006	p3027
msmarco_passage_39_813488487	p3028
msmarco_passage_19_687139628	p3029
msmarco_passage_22_299331349	p3030
msmarco_passage_58_371879035	p3031
msmarco_passage_41_617637121	p3032
msmarco_passage_56_865119646	p3033
msmarco_passage_49_664812171	p3034
msmarco_passage_63_198144579	p3035
msmarco_passage_29_849442156	p3036
msmarco_passage_12_227131775	p3037
msmarco_passage_49_233913945	p3038
msmarco_passage_39_813602109	p3039
msmarco_passage_51_680902571	p3040
msmarco_passage_48_221519224	p3041
msmarco_passage_65_379596534	p3042
msmarco_passage_32_150393707	p3043
msmarco_passage_56_534548596	p3044
msmarco_passage_67_264449522	p3045
msmarco_passage_22_656147098	p3046
msmarco_passage_50_223914241	p3047
msmarco_passage_60_429498504	p3048
msmarco_passage_36_475700714	p3049
msmarco_passage_61_437974171	p3050
msmarco_passage_37_507368096	p3051
msmarco_passage_32_150308048	p3052
msmarco_passage_39_813647921	p3053
msmarco_passage_43_216806490	p3054
msmarco_passage_30_168247708	p3055
msmarco_passage_63_298559211	p3056
msmarco_passage_26_669104230	p3057
msmarco_passage_54_278151019	p3058
msmarco_passage_45_57212992	p3059
msmarco_passage_23_620165936	p3060
msmarco_passage_17_59273775	p3061
msmarco_passage_32_282073213	p3062
msmarco_passage_31_42804462	p3063
msmarco_passage_14_670278844	p3064
msmarco_passage_29_688067567	p3065
msmarco_passage_49_290691689	p3066
msmarco_passage_45_30808198	p3067
msmarco_passage_57_862261151	p3068
msmarco_passage_27_760061115	p3069
msmarco_passage_52_373321359	p3070
msmarco_passage_45_592196052	p3071
msmarco_passage_56_643791002	p3072
msmarco_passage_19_749465669	p3073
msmarco_passage_40_128332034	p3074
msmarco_passage_47_814021678	p3075
msmarco_passage_27_171868414	p3076
msmarco_passage_05_328263551	p3077
msmarco_passage_69_37840427	p3078
msmarco_passage_05_613954930	p3079
msmarco_passage_16_722766293	p3080
msmarco_passage_14_715675523	p3081
msmarco_passage_02_190827771	p3082
msmarco_passage_04_487298183	p3083
msmarco_passage_13_751701066	p3084
msmarco_passage_13_751847029	p3085
msmarco_passage_31_36431164	p3086
msmarco_passage_29_484379755	p3087
msmarco_passage_20_467410347	p3088
msmarco_passage_03_716214260	p3089
msmarco_passage_06_325542641	p3090
msmarco_passage_18_598008106	p3091
msmarco_passage_45_544157035	p3092
msmarco_passage_46_220342673	p3093
msmarco_passage_64_316686988	p3094
msmarco_passage_00_116802381	p3095
msmarco_passage_54_805660384	p3096
msmarco_passage_14_210081667	p3097
msmarco_passage_20_767259373	p3098
msmarco_passage_34_747157002	p3099
msmarco_passage_00_31731331	p3100
msmarco_passage_55_577587613	p3101
msmarco_passage_52_581100735	p3102
msmarco_passage_49_539786917	p3103
msmarco_passage_32_817215768	p3104
msmarco_passage_57_398341564	p3105
msmarco_passage_11_645387898	p3106
msmarco_passage_67_299703921	p3107
msmarco_passage_58_541624115	p3108
msmarco_passage_62_13358000	p3109
msmarco_passage_19_589002633	p3110
msmarco_passage_52_527246546	p3111
msmarco_passage_04_144332619	p3112
msmarco_passage_35_638353890	p3113
msmarco_passage_25_450833239	p3114
msmarco_passage_35_679893759	p3115
msmarco_passage_10_851905183	p3116
msmarco_passage_33_524085173	p3117
msmarco_passage_67_395357114	p3118
msmarco_passage_26_192950957	p3119
msmarco_passage_09_297678262	p3120
msmarco_passage_68_184667966	p3121
msmarco_passage_28_137544982	p3122
msmarco_passage_59_413237329	p3123
msmarco_passage_10_169038455	p3124
msmarco_passage_41_282600519	p3125
msmarco_passage_02_295625891	p3126
msmarco_passage_26_576397396	p3127
msmarco_passage_64_371592064	p3128
msmarco_passage_15_465982169	p3129
msmarco_passage_22_418878199	p3130
msmarco_passage_21_589933568	p3131
msmarco_passage_66_590974940	p3132
msmarco_passage_26_724888738	p3133
msmarco_passage_45_663781275	p3134
msmarco_passage_30_727345496	p3135
msmarco_passage_18_756971818	p3136
msmarco_passage_18_272196312	p3137
msmarco_passage_01_120055197	p3138
msmarco_passage_19_92114289	p3139
msmarco_passage_42_678082873	p3140
msmarco_passage_59_846036317	p3141
msmarco_passage_31_864418722	p3142
msmarco_passage_64_117519253	p3143
msmarco_passage_27_254574089	p3144
msmarco_passage_39_573181174	p3145
msmarco_passage_50_323208950	p3146
msmarco_passage_37_469574955	p3147
msmarco_passage_56_800231507	p3148
msmarco_passage_37_322500604	p3149
msmarco_passage_67_98719412	p3150
msmarco_passage_20_560722827	p3151
msmarco_passage_64_323524099	p3152
msmarco_passage_06_208957466	p3153
msmarco_passage_50_223884205	p3154
msmarco_passage_00_117940110	p3155
msmarco_passage_57_161945890	p3156
msmarco_passage_42_720213415	p3157
msmarco_passage_20_560722473	p3158
msmarco_passage_47_530780899	p3159
msmarco_passage_09_701845422	p3160
msmarco_passage_21_126580230	p3161
msmarco_passage_29_687289542	p3162
msmarco_passage_00_710324057	p3163
msmarco_passage_66_704662625	p3164
msmarco_passage_60_748471763	p3165
msmarco_passage_04_66513653	p3166
msmarco_passage_04_298482024	p3167
msmarco_passage_62_13248426	p3168
msmarco_passage_03_225300962	p3169
msmarco_passage_10_605306322	p3170
msmarco_passage_46_553359871	p3171
msmarco_passage_04_91626905	p3172
msmarco_passage_56_30402146	p3173
msmarco_passage_02_369295234	p3174
msmarco_passage_12_686414470	p3175
msmarco_passage_38_72781301	p3176
msmarco_passage_45_227527566	p3177
msmarco_passage_18_614925363	p3178
msmarco_passage_37_265153155	p3179
msmarco_passage_63_30896608	p3180
msmarco_passage_39_461698629	p3181
msmarco_passage_46_431242549	p3182
msmarco_passage_53_108496131	p3183
msmarco_passage_16_810046072	p3184
msmarco_passage_53_61284131	p3185
msmarco_passage_15_456367445	p3186
msmarco_passage_29_290703687	p3187
msmarco_passage_11_117169112	p3188
msmarco_passage_58_856183112	p3189
msmarco_passage_56_834945330	p3190
msmarco_passage_19_687140458	p3191
msmarco_passage_48_110217484	p3192
msmarco_passage_23_69450189	p3193
msmarco_passage_63_776413311	p3194
msmarco_passage_09_489174374	p3195
msmarco_passage_62_94983733	p3196
msmarco_passage_67_534926433	p3197
msmarco_passage_10_404153213	p3198
msmarco_passage_61_679429836	p3199
msmarco_passage_23_612862796	p3200
msmarco_passage_43_539195995	p3201
msmarco_passage_17_637686624	p3202
msmarco_passage_28_616987840	p3203
msmarco_passage_09_440455829	p3204
msmarco_passage_09_441457546	p3205
msmarco_passage_15_525147948	p3206
msmarco_passage_26_249297533	p3207
msmarco_passage_13_633589146	p3208
msmarco_passage_34_276275871	p3209
msmarco_passage_35_269719282	p3210
msmarco_passage_34_468113085	p3211
msmarco_passage_14_538843524	p3212
msmarco_passage_22_158546301	p3213
msmarco_passage_57_543386298	p3214
msmarco_passage_46_366822422	p3215
msmarco_passage_51_346716292	p3216
msmarco_passage_46_774967419	p3217
msmarco_passage_38_636593364	p3218
msmarco_passage_38_416337437	p3219
msmarco_passage_02_427220806	p3220
msmarco_passage_68_213193605	p3221
msmarco_passage_21_503232103	p3222
msmarco_passage_32_150834665	p3223
msmarco_passage_55_214279430	p3224
msmarco_passage_29_687298773	p3225
msmarco_passage_12_654455610	p3226
msmarco_passage_31_571824519	p3227
msmarco_passage_68_764252554	p3228
msmarco_passage_26_744410149	p3229
msmarco_passage_55_9491764	p3230
msmarco_passage_20_385021036	p3231
msmarco_passage_03_277766566	p3232
msmarco_passage_29_685769790	p3233
msmarco_passage_27_674354882	p3234
msmarco_passage_27_200072414	p3235
msmarco_passage_49_587794812	p3236
msmarco_passage_62_138497664	p3237
msmarco_passage_37_353362674	p3238
msmarco_passage_21_834726594	p3239
msmarco_passage_67_51533358	p3240
msmarco_passage_53_359559022	p3241
msmarco_passage_17_785197935	p3242
msmarco_passage_64_205285638	p3243
msmarco_passage_67_875712262	p3244
msmarco_passage_28_111094207	p3245
msmarco_passage_05_841853051	p3246
msmarco_passage_46_573969158	p3247
msmarco_passage_19_39012197	p3248
msmarco_passage_53_224466341	p3249
msmarco_passage_15_672034936	p3250
msmarco_passage_35_375122893	p3251
msmarco_passage_56_534348715	p3252
msmarco_passage_01_657932237	p3253
msmarco_passage_42_678950755	p3254
msmarco_passage_09_164844556	p3255
msmarco_passage_54_278842072	p3256
msmarco_passage_52_744802159	p3257
msmarco_passage_15_803699908	p3258
msmarco_passage_23_741449240	p3259
msmarco_passage_01_829031735	p3260
msmarco_passage_67_558721173	p3261
msmarco_passage_37_460844093	p3262
msmarco_passage_61_773520519	p3263
msmarco_passage_48_385888535	p3264
msmarco_passage_12_254811778	p3265
msmarco_passage_40_340911567	p3266
msmarco_passage_18_470761953	p3267
msmarco_passage_20_678621992	p3268
msmarco_passage_29_289009995	p3269
msmarco_passage_31_667103059	p3270
msmarco_passage_29_724871228	p3271
msmarco_passage_42_544586348	p3272
msmarco_passage_67_223663860	p3273
msmarco_passage_43_319726731	p3274
msmarco_passage_09_427113026	p3275
msmarco_passage_13_680255261	p3276
msmarco_passage_04_818255344	p3277
msmarco_passage_58_245008819	p3278
msmarco_passage_40_721445612	p3279
msmarco_passage_07_602188354	p3280
msmarco_passage_02_318140484	p3281
msmarco_passage_23_72515516	p3282
msmarco_passage_16_64367954	p3283
msmarco_passage_19_643527868	p3284
msmarco_passage_05_784896494	p3285
msmarco_passage_35_269720388	p3286
msmarco_passage_11_46859420	p3287
msmarco_passage_51_89211454	p3288
msmarco_passage_25_415198809	p3289
msmarco_passage_55_279084062	p3290
msmarco_passage_44_244783871	p3291
msmarco_passage_66_114178219	p3292
msmarco_passage_67_304941170	p3293
msmarco_passage_59_487588616	p3294
msmarco_passage_49_290637160	p3295
msmarco_passage_52_709158749	p3296
msmarco_passage_66_191436395	p3297
msmarco_passage_27_867441214	p3298
msmarco_passage_68_180054608	p3299
msmarco_passage_04_635617343	p3300
msmarco_passage_20_592686160	p3301
msmarco_passage_10_549508530	p3302
msmarco_passage_19_547297275	p3303
msmarco_passage_10_433445835	p3304
msmarco_passage_42_83443294	p3305
msmarco_passage_19_157401068	p3306
msmarco_passage_67_460534499	p3307
msmarco_passage_59_320843770	p3308
msmarco_passage_64_115519739	p3309
msmarco_passage_29_372094990	p3310
msmarco_passage_11_647451105	p3311
msmarco_passage_37_354388430	p3312
msmarco_passage_50_814654791	p3313
msmarco_passage_27_415161546	p3314
msmarco_passage_03_224750791	p3315
msmarco_passage_57_536132037	p3316
msmarco_passage_54_277867647	p3317
msmarco_passage_21_548507884	p3318
msmarco_passage_25_497012243	p3319
msmarco_passage_04_469689825	p3320
msmarco_passage_24_868627618	p3321
msmarco_passage_48_309860058	p3322
msmarco_passage_55_470352049	p3323
msmarco_passage_21_346256283	p3324
msmarco_passage_37_585331745	p3325
msmarco_passage_49_671691773	p3326
msmarco_passage_06_15377298	p3327
msmarco_passage_38_630841265	p3328
msmarco_passage_25_211102952	p3329
msmarco_passage_61_240495255	p3330
msmarco_passage_32_587918199	p3331
msmarco_passage_37_78122854	p3332
msmarco_passage_35_691621886	p3333
msmarco_passage_10_540712277	p3334
msmarco_passage_41_613925919	p3335
msmarco_passage_12_65961402	p3336
msmarco_passage_08_38452775	p3337
msmarco_passage_30_367275438	p3338
msmarco_passage_15_530380092	p3339
msmarco_passage_38_798963105	p3340
msmarco_passage_16_837973337	p3341
msmarco_passage_25_618543334	p3342
msmarco_passage_49_606872897	p3343
msmarco_passage_31_835714268	p3344
msmarco_passage_13_568161540	p3345
msmarco_passage_20_774065089	p3346
msmarco_passage_51_239016133	p3347
msmarco_passage_04_144030657	p3348
msmarco_passage_33_198318198	p3349
msmarco_passage_52_783583887	p3350
msmarco_passage_65_295616041	p3351
msmarco_passage_40_723190847	p3352
msmarco_passage_28_613893179	p3353
msmarco_passage_10_24774947	p3354
msmarco_passage_19_167294892	p3355
msmarco_passage_10_485390702	p3356
msmarco_passage_21_65582195	p3357
msmarco_passage_29_114384387	p3358
msmarco_passage_00_3766325	p3359
msmarco_passage_68_140326505	p3360
msmarco_passage_27_867381142	p3361
msmarco_passage_18_218043256	p3362
msmarco_passage_04_469684760	p3363
msmarco_passage_14_712022734	p3364
msmarco_passage_43_168552469	p3365
msmarco_passage_64_74046911	p3366
msmarco_passage_12_751342368	p3367
msmarco_passage_20_225388473	p3368
msmarco_passage_54_294109089	p3369
msmarco_passage_07_97973420	p3370
msmarco_passage_41_450542270	p3371
msmarco_passage_02_295630204	p3372
msmarco_passage_49_776668665	p3373
msmarco_passage_03_799580743	p3374
msmarco_passage_04_727869274	p3375
msmarco_passage_13_341434203	p3376
msmarco_passage_41_748772147	p3377
msmarco_passage_49_291434920	p3378
msmarco_passage_51_442635307	p3379
msmarco_passage_17_549280773	p3380
msmarco_passage_26_310736662	p3381
msmarco_passage_04_626827591	p3382
msmarco_passage_35_366715432	p3383
msmarco_passage_04_301322734	p3384
msmarco_passage_42_830618044	p3385
msmarco_passage_59_3485824	p3386
msmarco_passage_10_754124197	p3387
msmarco_passage_64_225097672	p3388
msmarco_passage_28_867379375	p3389
msmarco_passage_57_355386485	p3390
msmarco_passage_10_129441624	p3391
msmarco_passage_65_378846407	p3392
msmarco_passage_16_328534197	p3393
msmarco_passage_07_280363690	p3394
msmarco_passage_20_6313789	p3395
msmarco_passage_34_467443055	p3396
msmarco_passage_45_544156115	p3397
msmarco_passage_63_123641892	p3398
msmarco_passage_68_213159122	p3399
msmarco_passage_59_487251337	p3400
msmarco_passage_48_31473171	p3401
msmarco_passage_05_536683882	p3402
msmarco_passage_53_349423251	p3403
msmarco_passage_28_124506737	p3404
msmarco_passage_03_726097802	p3405
msmarco_passage_05_487549679	p3406
msmarco_passage_02_308317666	p3407
msmarco_passage_29_704697996	p3408
msmarco_passage_35_797932950	p3409
msmarco_passage_53_5842072	p3410
msmarco_passage_63_808109496	p3411
msmarco_passage_60_431467855	p3412
msmarco_passage_42_832299744	p3413
msmarco_passage_58_833990721	p3414
msmarco_passage_64_810485978	p3415
msmarco_passage_34_834440896	p3416
msmarco_passage_21_347194432	p3417
msmarco_passage_01_357341767	p3418
msmarco_passage_00_110824510	p3419
msmarco_passage_28_618407768	p3420
msmarco_passage_64_323520180	p3421
msmarco_passage_43_560772732	p3422
msmarco_passage_21_90022448	p3423
msmarco_passage_40_714247955	p3424
msmarco_passage_36_287767586	p3425
msmarco_passage_36_206266568	p3426
msmarco_passage_00_544345437	p3427
msmarco_passage_10_574445746	p3428
msmarco_passage_42_270991431	p3429
msmarco_passage_04_23017883	p3430
msmarco_passage_30_518771803	p3431
msmarco_passage_23_296546157	p3432
msmarco_passage_35_366733465	p3433
msmarco_passage_37_735607610	p3434
msmarco_passage_04_332222996	p3435
msmarco_passage_39_721747997	p3436
msmarco_passage_60_816034274	p3437
msmarco_passage_14_29971751	p3438
msmarco_passage_48_116393599	p3439
msmarco_passage_36_370929247	p3440
msmarco_passage_48_589993772	p3441
msmarco_passage_33_675307066	p3442
msmarco_passage_37_478524753	p3443
msmarco_passage_11_844765174	p3444
msmarco_passage_11_599422202	p3445
msmarco_passage_07_34112781	p3446
msmarco_passage_26_842631386	p3447
msmarco_passage_37_542120874	p3448
msmarco_passage_38_350088867	p3449
msmarco_passage_35_366721273	p3450
msmarco_passage_08_18127307	p3451
msmarco_passage_42_630053353	p3452
msmarco_passage_49_88477166	p3453
msmarco_passage_43_441783296	p3454
msmarco_passage_07_16417962	p3455
msmarco_passage_10_135531646	p3456
msmarco_passage_57_743333374	p3457
msmarco_passage_23_111368288	p3458
msmarco_passage_09_839357921	p3459
msmarco_passage_59_460721495	p3460
msmarco_passage_37_427700578	p3461
msmarco_passage_05_65435031	p3462
msmarco_passage_12_683236375	p3463
msmarco_passage_63_706490142	p3464
msmarco_passage_13_667603235	p3465
msmarco_passage_42_649845063	p3466
msmarco_passage_28_92063246	p3467
msmarco_passage_67_98784374	p3468
msmarco_passage_27_480559464	p3469
msmarco_passage_65_374477988	p3470
msmarco_passage_05_503359652	p3471
msmarco_passage_10_134849122	p3472
msmarco_passage_65_181539927	p3473
msmarco_passage_09_66131201	p3474
msmarco_passage_10_434882695	p3475
msmarco_passage_00_295290027	p3476
msmarco_passage_69_74441908	p3477
msmarco_passage_41_857151890	p3478
msmarco_passage_25_218359968	p3479
msmarco_passage_12_23439737	p3480
msmarco_passage_40_417568410	p3481
msmarco_passage_45_813347712	p3482
msmarco_passage_28_57877859	p3483
msmarco_passage_19_31407744	p3484
msmarco_passage_15_510980950	p3485
msmarco_passage_49_587753204	p3486
msmarco_passage_26_537217450	p3487
msmarco_passage_53_821236968	p3488
msmarco_passage_45_234778420	p3489
msmarco_passage_51_188863218	p3490
msmarco_passage_42_630593122	p3491
msmarco_passage_47_677111543	p3492
msmarco_passage_12_290525008	p3493
msmarco_passage_51_795816232	p3494
msmarco_passage_09_438035551	p3495
msmarco_passage_20_620580803	p3496
msmarco_passage_25_407396998	p3497
msmarco_passage_04_626774645	p3498
msmarco_passage_01_735384418	p3499
msmarco_passage_41_103700917	p3500
msmarco_passage_15_151960899	p3501
msmarco_passage_12_57171645	p3502
msmarco_passage_49_769097945	p3503
msmarco_passage_02_725478149	p3504
msmarco_passage_25_618547802	p3505
msmarco_passage_65_749919810	p3506
msmarco_passage_53_5857139	p3507
msmarco_passage_01_769507424	p3508
msmarco_passage_09_504547378	p3509
msmarco_passage_54_278166689	p3510
msmarco_passage_52_665634982	p3511
msmarco_passage_45_14157938	p3512
msmarco_passage_28_133181255	p3513
msmarco_passage_40_149486211	p3514
msmarco_passage_63_383703722	p3515
msmarco_passage_03_225205844	p3516
msmarco_passage_29_27294355	p3517
msmarco_passage_37_607260917	p3518
msmarco_passage_48_551564110	p3519
msmarco_passage_29_728445242	p3520
msmarco_passage_27_342485758	p3521
msmarco_passage_26_505930845	p3522
msmarco_passage_10_237750624	p3523
msmarco_passage_67_104043882	p3524
msmarco_passage_07_16445859	p3525
msmarco_passage_36_748345699	p3526
msmarco_passage_45_563492060	p3527
msmarco_passage_35_21417039	p3528
msmarco_passage_04_111199807	p3529
msmarco_passage_41_349906704	p3530
msmarco_passage_68_306688890	p3531
msmarco_passage_54_465270161	p3532
msmarco_passage_10_448346496	p3533
msmarco_passage_66_517614000	p3534
msmarco_passage_00_97085973	p3535
msmarco_passage_57_147947217	p3536
msmarco_passage_05_744175234	p3537
msmarco_passage_46_708813313	p3538
msmarco_passage_03_101000342	p3539
msmarco_passage_59_607611907	p3540
msmarco_passage_66_41380828	p3541
msmarco_passage_03_287995697	p3542
msmarco_passage_25_67356147	p3543
msmarco_passage_51_795819621	p3544
msmarco_passage_26_871881663	p3545
msmarco_passage_39_433635256	p3546
msmarco_passage_18_182896003	p3547
msmarco_passage_21_282351673	p3548
msmarco_passage_61_773521849	p3549
msmarco_passage_46_497699027	p3550
msmarco_passage_51_712009022	p3551
msmarco_passage_47_476642371	p3552
msmarco_passage_45_34444333	p3553
msmarco_passage_22_247066041	p3554
msmarco_passage_05_55632158	p3555
msmarco_passage_61_563212288	p3556
msmarco_passage_12_590372103	p3557
msmarco_passage_28_137183615	p3558
msmarco_passage_32_114684536	p3559
msmarco_passage_31_179141039	p3560
msmarco_passage_14_223272117	p3561
msmarco_passage_42_440352302	p3562
msmarco_passage_12_811446222	p3563
msmarco_passage_00_297067107	p3564
msmarco_passage_11_546807775	p3565
msmarco_passage_24_868617955	p3566
msmarco_passage_46_243595379	p3567
msmarco_passage_68_193075243	p3568
msmarco_passage_57_578234531	p3569
msmarco_passage_11_729823048	p3570
msmarco_passage_63_776412925	p3571
msmarco_passage_03_89480126	p3572
msmarco_passage_54_706675421	p3573
msmarco_passage_34_834489890	p3574
msmarco_passage_50_573174734	p3575
msmarco_passage_07_715727858	p3576
msmarco_passage_03_546061181	p3577
msmarco_passage_56_800206630	p3578
msmarco_passage_67_18554459	p3579
msmarco_passage_14_21895173	p3580
msmarco_passage_32_563539875	p3581
msmarco_passage_52_783232013	p3582
msmarco_passage_68_177029837	p3583
msmarco_passage_03_581805071	p3584
msmarco_passage_67_511072202	p3585
msmarco_passage_40_624243714	p3586
msmarco_passage_11_684661244	p3587
msmarco_passage_64_84559722	p3588
msmarco_passage_13_742006811	p3589
msmarco_passage_56_534490277	p3590
msmarco_passage_35_314142867	p3591
msmarco_passage_55_200427427	p3592
msmarco_passage_05_867713714	p3593
msmarco_passage_41_617625187	p3594
msmarco_passage_62_13234282	p3595
msmarco_passage_23_69830408	p3596
msmarco_passage_12_202386324	p3597
msmarco_passage_58_703532698	p3598
msmarco_passage_59_609820137	p3599
msmarco_passage_32_555185309	p3600
msmarco_passage_10_743982851	p3601
msmarco_passage_13_751696614	p3602
msmarco_passage_19_64254996	p3603
msmarco_passage_52_21158828	p3604
msmarco_passage_29_295123191	p3605
msmarco_passage_13_567078260	p3606
msmarco_passage_61_383799331	p3607
msmarco_passage_23_239803476	p3608
msmarco_passage_04_747830966	p3609
msmarco_passage_10_271495108	p3610
msmarco_passage_18_80202719	p3611
msmarco_passage_33_616619436	p3612
msmarco_passage_52_637209866	p3613
msmarco_passage_40_256315388	p3614
msmarco_passage_51_23573231	p3615
msmarco_passage_68_399163515	p3616
msmarco_passage_44_70553671	p3617
msmarco_passage_22_365214565	p3618
msmarco_passage_10_792448794	p3619
msmarco_passage_36_448824587	p3620
msmarco_passage_37_513424045	p3621
msmarco_passage_34_620077256	p3622
msmarco_passage_35_366716004	p3623
msmarco_passage_47_182333373	p3624
msmarco_passage_07_279355085	p3625
msmarco_passage_02_108546275	p3626
msmarco_passage_34_449055446	p3627
msmarco_passage_58_654628145	p3628
msmarco_passage_42_58844411	p3629
msmarco_passage_11_495020367	p3630
msmarco_passage_57_340212824	p3631
msmarco_passage_33_616621645	p3632
msmarco_passage_59_424124582	p3633
msmarco_passage_03_658480201	p3634
msmarco_passage_17_129654555	p3635
msmarco_passage_52_21253114	p3636
msmarco_passage_01_139918534	p3637
msmarco_passage_29_283899517	p3638
msmarco_passage_07_160056217	p3639
msmarco_passage_37_718395012	p3640
msmarco_passage_02_826381588	p3641
msmarco_passage_59_724826742	p3642
msmarco_passage_62_71635806	p3643
msmarco_passage_24_778435347	p3644
msmarco_passage_58_738331261	p3645
msmarco_passage_39_677528363	p3646
msmarco_passage_59_647337710	p3647
msmarco_passage_45_9421409	p3648
msmarco_passage_50_684604356	p3649
msmarco_passage_20_36618116	p3650
msmarco_passage_67_431811141	p3651
msmarco_passage_67_299489101	p3652
msmarco_passage_33_520170076	p3653
msmarco_passage_32_489403456	p3654
msmarco_passage_58_286115174	p3655
msmarco_passage_04_401509518	p3656
msmarco_passage_15_417940673	p3657
msmarco_passage_45_48286666	p3658
msmarco_passage_00_662986293	p3659
